Site,Impl,Test,KBytes Transferred,KBytes/second,Chunk Count,Mean Chunk Size,Max Chunk Size,Min Chunk Size,User Time,System Time,Total CPU Time,Clock Time
"seattle","1.8.7 i686-linux right_http_connection","seattle with right_http_connection",11266,573.261069589518,7551,1527,16384,924,0.93,0.26,1.19,19.6524770259857
"chicago","1.8.7 i686-linux right_http_connection","chicago with right_http_connection",11266,929.444698074245,7564,1525,16384,452,1.02,0.23,1.25,12.1212160587311
"dallas","1.8.7 i686-linux right_http_connection","dallas with right_http_connection",11266,10167.4649205138,5832,1978,16384,1460,0.72,0.21,0.93,1.10804414749146
"london","1.8.7 i686-linux right_http_connection","london with right_http_connection",11266,250.17132256216,7255,1590,16384,844,0.91,0.21,1.12,45.0331392288208
"washdc","1.8.7 i686-linux right_http_connection","washdc with right_http_connection",11266,856.772454825012,7607,1516,16384,1136,0.91,0.25,1.16,13.1493489742279
