Impl Names/Sites,seattle,chicago,dallas,london,washdc
1.8.7 i686-linux net_http_notimeout,0.0219771804442105,0.0345872731994509,0.390039643003196,0.0100391706183406,0.0328929549813069
1.8.6 i686-linux net_http_select,0.055390291480359,0.09492527119278,0.918700673419494,0.025828311140854,0.0883327169907802
1.8.6 i686-linux net_http_zerocopy,0.0490668834520663,0.0836952056985334,0.784863610614469,0.0205480913523847,0.0509362757940922
1.9.0 i686-linux net_http_zerocopy_sysread,0.00971305633477594,0.0157606413601512,0.203996483135164,0.00520563358326106,0.0167510143678897
1.8.7 i686-linux rfuzz,0.0127937187089053,0.0214069484465491,0.2149599541821,0.00685159445688882,0.0211021835903171
1.8.7 i686-linux right_http_connection,0.0605521633953068,0.103124966500338,0.839316738512143,0.0248705735194052,0.0882172951887994
1.8.7 i686-linux net_http_zerocopy,0.0316701717961498,0.0500561125692378,0.481524193095753,0.0148799086914109,0.0270734269448521
1.8.6 i686-linux stock_net_http,0.164107538157085,0.259790689566075,0.997446617704003,0.07008545138575,0.261612469443996
1.8.7 i686-linux net_http_zerocopy_sysread,0.0192466808336373,0.0354628562048854,0.339868122251281,0.00935444694030389,0.0264817918296336
1.8.6 i686-linux libcurl,0.0327793571349311,0.05562570032336,0.563812338532657,0.0142077703846557,0.031992246498798
1.9.0 i686-linux net_http_notimeout,0.0117452232711501,0.0205848702648415,0.238725070576451,0.00626216045044019,0.019814380741187
1.8.6 i686-linux rfuzz,0.0136914912010575,0.0231734326750489,0.286978589007887,0.00781082377951728,0.0213774775349065
1.9.0 i686-linux net_http_select,0.0374981193462745,0.0595522510706007,0.608073378371057,0.0156077269670571,0.055164492415697
1.9.0 i686-linux net_http_zerocopy,0.0324879740480064,0.0551129151577225,0.548486246605623,0.01551790805558,0.0484906822756656
1.9.0 i686-linux eventmachine,0.0174043196407576,0.0247524384755082,0.28899764998332,0.00712013175790174,0.0225882900358161
1.9.0 i686-linux stock_net_http,0.0482155938884682,0.0746408465636855,0.658537362595462,0.0206794589974836,0.0727936027611202
1.8.7 i686-linux eventmachine,0.0162163425643688,0.0273307001913595,0.369671063470222,0.00704558079749724,0.0253104733552252
1.8.7 i686-linux net_http_select,0.0387378946321395,0.0592045187029026,0.605330715143953,0.0169657945521419,0.0561540684921573
1.8.6 i686-linux net_http_zerocopy_sysread,0.0408722693104125,0.0646409903265455,0.613175018656925,0.0178152047411557,0.0475870245335381
1.8.7 i686-linux libcurl,0.0143529526732759,0.0208724900534914,0.249216208711789,0.00669852471028412,0.0207542750106642
1.8.7 i686-linux stock_net_http,0.0712463623014659,0.111336460375369,0.914146551927361,0.032647460316795,0.103632897281198
1.9.0 i686-linux right_http_connection,0.0474049553608407,0.0741064916692387,0.705486615291039,0.0197135358194929,0.0739699966545214
1.8.6 i686-linux net_http_notimeout,0.0434398515648849,0.0663351729966776,0.673723476269478,0.0184869681477409,0.0651948579505926
