Site,Impl,Test,KBytes Transferred,KBytes/second,Chunk Count,Mean Chunk Size,Max Chunk Size,Min Chunk Size,User Time,System Time,Total CPU Time,Clock Time
"seattle","1.8.7 i686-linux net_http_zerocopy_sysread","seattle with net/http with 16k buf, zero-copy reads, sysread()",11266,570.613437557258,7699,1498,16384,924,0.16,0.22,0.38,19.7436640262604
"chicago","1.8.7 i686-linux net_http_zerocopy_sysread","chicago with net/http with 16k buf, zero-copy reads, sysread()",11266,929.126832567998,7773,1484,16384,844,0.17,0.26,0.43,12.1253628730774
"dallas","1.8.7 i686-linux net_http_zerocopy_sysread","dallas with net/http with 16k buf, zero-copy reads, sysread()",11266,9572.38566320732,7276,1585,16384,924,0.16,0.24,0.4,1.17692708969116
"london","1.8.7 i686-linux net_http_zerocopy_sysread","london with net/http with 16k buf, zero-copy reads, sysread()",11266,250.921902927295,7709,1496,16384,924,0.18,0.24,0.42,44.8984320163727
"washdc","1.8.7 i686-linux net_http_zerocopy_sysread","washdc with net/http with 16k buf, zero-copy reads, sysread()",11266,764.98427372475,7764,1485,13140,404,0.18,0.21,0.39,14.7271001338959
