Site,Impl,Test,KBytes Transferred,KBytes/second,Chunk Count,Mean Chunk Size,Max Chunk Size,Min Chunk Size,User Time,System Time,Total CPU Time,Clock Time
"seattle","1.8.7 i686-linux net_http_zerocopy","seattle with net/http with 16k buf, zero-copy reads, select()",11266,566.343103897498,7729,1492,16060,1168,0.47,0.16,0.63,19.8925349712372
"chicago","1.8.7 i686-linux net_http_zerocopy","chicago with net/http with 16k buf, zero-copy reads, select()",11266,924.478957713169,7737,1491,16188,892,0.48,0.13,0.61,12.1863238811493
"dallas","1.8.7 i686-linux net_http_zerocopy","dallas with net/http with 16k buf, zero-copy reads, select()",11266,10046.0214063273,6887,1675,16384,164,0.41,0.13,0.54,1.12143898010254
"london","1.8.7 i686-linux net_http_zerocopy","london with net/http with 16k buf, zero-copy reads, select()",11266,250.204554205126,7754,1487,16384,1128,0.53,0.14,0.67,45.0271580219269
"washdc","1.8.7 i686-linux net_http_zerocopy","washdc with net/http with 16k buf, zero-copy reads, select()",11266,484.141631683657,7749,1488,11680,296,0.49,0.14,0.63,23.2700500488281
