Site,Impl,Test,KBytes Transferred,KBytes/second,Chunk Count,Mean Chunk Size,Max Chunk Size,Min Chunk Size,User Time,System Time,Total CPU Time,Clock Time
seattle,libcurl,seattle with libcurl,11266,570.114467351885,7819,1475,10220,924,0.13,0.14,0.27,19.7609438896179
chicago,libcurl,chicago with libcurl,11266,1260.78596932551,7823,1474,16384,1088,0.12,0.12,0.24,8.93569588661194
dallas,libcurl,dallas with libcurl,11266,11043.2990784753,7659,1506,16384,160,0.15,0.15,0.3,1.02016615867615
london,libcurl,london with libcurl,11266,275.660381390574,7833,1472,14600,600,0.11,0.14,0.25,40.8691301345825
washdc,libcurl,washdc with libcurl,11266,868.386288373942,7860,1467,11680,924,0.14,0.12,0.26,12.9734890460968
seattle,net/http,seattle with net/http,11266,563.148179863839,7691,1499,16384,924,0.64,0.16,0.8,20.0053918361664
chicago,net/http,chicago with net/http,11266,1245.91255119351,7394,1560,16384,324,0.63,0.12,0.75,9.04236817359924
dallas,net/http,dallas with net/http,11266,8671.63775614789,6139,1879,16384,164,0.54,0.16,0.7,1.29917788505554
london,net/http,london with net/http,11266,274.39755676049,7755,1487,16384,932,0.66,0.13,0.79,41.0572168827057
washdc,net/http,washdc with net/http,11266,851.974338194499,7712,1495,13140,924,0.68,0.13,0.81,13.2234029769897
seattle,rfuzz,seattle with rfuzz,11266,568.700986475906,705,16363,16384,2048,0.04,0.24,0.28,19.8100588321686
chicago,rfuzz,chicago with rfuzz,11266,1255.24433003962,706,16340,16384,960,0.04,0.24,0.28,8.97514510154724
dallas,rfuzz,dallas with rfuzz,11266,10632.7363925449,705,16363,16384,2048,0.0300000000000002,0.28,0.31,1.05955791473389
london,rfuzz,london with rfuzz,11266,272.07475888697,705,16363,16384,2048,0.0600000000000001,0.18,0.24,41.4077367782593
washdc,rfuzz,washdc with rfuzz,11266,864.753307075921,705,16363,16384,2048,0.04,0.25,0.29,13.0279929637909
