ruby_ver,platform,test_variant,Site,Impl,Test,KBytes Transferred,KBytes/second,Chunk Count,Mean Chunk Size,Max Chunk Size,Min Chunk Size,User Time,System Time,Total CPU Time,Clock Time
ruby186p111,win,custom-64kbuffer,seattle,net/http,seattle with net/http,11266,305.518644067797,2669,4322,42340,1460,1.906,0.156,2.062,36.875
ruby186p111,win,custom-64kbuffer,chicago,net/http,chicago with net/http,11266,575.883038571209,2583,4466,37960,248,1.078,0.11,1.188,19.563000202179
ruby186p111,win,custom-64kbuffer,dallas,net/http,dallas with net/http,11266,587.627792632443,2640,4369,39420,1460,1.281,0.203,1.484,19.1719999313354
ruby186p111,win,custom-64kbuffer,london,net/http,london with net/http,11266,369.765000130603,2613,4414,37960,1460,1.36,0.094,1.454,30.4679999351501
ruby186p111,win,custom-64kbuffer,washdc,net/http,washdc with net/http,11266,582.402809197953,2766,4170,16060,1460,1.14,0.0620000000000001,1.202,19.3440001010895
ruby186p111,win,stock,seattle,net/http,seattle with net/http,11266,618.874972663196,12956,890,1024,92,4.235,0.14,4.375,18.2039999961853
ruby186p111,win,stock,chicago,net/http,chicago with net/http,11266,1564.07051125973,12129,951,1024,52,4.109,0.125,4.234,7.20300006866455
ruby186p111,win,stock,dallas,net/http,dallas with net/http,11266,1005.6235089448,12262,940,1024,52,5.625,0.391,6.016,11.202999830246
ruby186p111,win,stock,london,net/http,london with net/http,11266,328.790309806173,12290,938,1024,16,7.453,0.453,7.906,34.2650001049042
ruby186p111,win,stock,washdc,net/http,washdc with net/http,11266,935.170587217819,12710,907,1024,52,4.985,0.266,5.251,12.0469999313354
ruby187p72,linux,custom-16kbuffer-notimeout,seattle,libcurl,seattle with libcurl,11266,570.949149960748,7768,1485,10220,924,0.12,0.11,0.23,19.7320549488068
ruby187p72,linux,custom-16kbuffer-notimeout,chicago,libcurl,chicago with libcurl,11266,1245.69616794905,7837,1472,16384,128,0.13,0.13,0.26,9.04393887519836
ruby187p72,linux,custom-16kbuffer-notimeout,dallas,libcurl,dallas with libcurl,11266,10025.3064659612,7625,1512,16384,924,0.15,0.16,0.31,1.12375617027283
ruby187p72,linux,custom-16kbuffer-notimeout,london,libcurl,london with libcurl,11266,250.771189337933,7831,1473,13140,1088,0.13,0.12,0.25,44.9254159927368
ruby187p72,linux,custom-16kbuffer-notimeout,washdc,libcurl,washdc with libcurl,11266,862.690003993497,7856,1468,7300,884,0.12,0.13,0.25,13.0591521263123
ruby187p72,linux,custom-16kbuffer-notimeout,seattle,net/http,seattle with net/http,11266,564.363884717774,7785,1481,14600,924,0.24,0.24,0.48,19.9622979164124
ruby187p72,linux,custom-16kbuffer-notimeout,chicago,net/http,chicago with net/http,11266,1223.97370850234,7591,1519,16384,568,0.24,0.23,0.47,9.2044460773468
ruby187p72,linux,custom-16kbuffer-notimeout,dallas,net/http,dallas with net/http,11266,8237.2175057805,6842,1686,16384,164,0.24,0.25,0.49,1.36769485473633
ruby187p72,linux,custom-16kbuffer-notimeout,london,net/http,london with net/http,11266,249.563374552979,7642,1509,16384,924,0.25,0.27,0.52,45.1428420543671
ruby187p72,linux,custom-16kbuffer-notimeout,washdc,net/http,washdc with net/http,11266,864.683016344389,7756,1487,11680,1176,0.26,0.23,0.49,13.0290520191193
ruby187p72,linux,custom-16kbuffer-notimeout,seattle,rfuzz,seattle with rfuzz,11266,574.565915478904,705,16363,16384,2048,0.04,0.24,0.28,19.6078460216522
ruby187p72,linux,custom-16kbuffer-notimeout,chicago,rfuzz,chicago with rfuzz,11266,1262.02233217034,706,16340,16384,960,0.04,0.21,0.25,8.92694187164307
ruby187p72,linux,custom-16kbuffer-notimeout,dallas,rfuzz,dallas with rfuzz,11266,10526.3339438587,705,16363,16384,2048,0.0299999999999998,0.3,0.33,1.07026815414429
ruby187p72,linux,custom-16kbuffer-notimeout,london,rfuzz,london with rfuzz,11266,251.44571815044,705,16363,16384,2048,0.0500000000000003,0.24,0.29,44.8048989772797
ruby187p72,linux,custom-16kbuffer-notimeout,washdc,rfuzz,washdc with rfuzz,11266,866.073560031015,705,16363,16384,2048,0.0499999999999998,0.24,0.29,13.0081329345703
ruby187p72,linux,custom-16kbuffer-select,seattle,libcurl,seattle with libcurl,11266,570.114467351885,7819,1475,10220,924,0.13,0.14,0.27,19.7609438896179
ruby187p72,linux,custom-16kbuffer-select,chicago,libcurl,chicago with libcurl,11266,1260.78596932551,7823,1474,16384,1088,0.12,0.12,0.24,8.93569588661194
ruby187p72,linux,custom-16kbuffer-select,dallas,libcurl,dallas with libcurl,11266,11043.2990784753,7659,1506,16384,160,0.15,0.15,0.3,1.02016615867615
ruby187p72,linux,custom-16kbuffer-select,london,libcurl,london with libcurl,11266,275.660381390574,7833,1472,14600,600,0.11,0.14,0.25,40.8691301345825
ruby187p72,linux,custom-16kbuffer-select,washdc,libcurl,washdc with libcurl,11266,868.386288373942,7860,1467,11680,924,0.14,0.12,0.26,12.9734890460968
ruby187p72,linux,custom-16kbuffer-select,seattle,net/http,seattle with net/http,11266,563.148179863839,7691,1499,16384,924,0.64,0.16,0.8,20.0053918361664
ruby187p72,linux,custom-16kbuffer-select,chicago,net/http,chicago with net/http,11266,1245.91255119351,7394,1560,16384,324,0.63,0.12,0.75,9.04236817359924
ruby187p72,linux,custom-16kbuffer-select,dallas,net/http,dallas with net/http,11266,8671.63775614789,6139,1879,16384,164,0.54,0.16,0.7,1.29917788505554
ruby187p72,linux,custom-16kbuffer-select,london,net/http,london with net/http,11266,274.39755676049,7755,1487,16384,932,0.66,0.13,0.79,41.0572168827057
ruby187p72,linux,custom-16kbuffer-select,washdc,net/http,washdc with net/http,11266,851.974338194499,7712,1495,13140,924,0.68,0.13,0.81,13.2234029769897
ruby187p72,linux,custom-16kbuffer-select,seattle,rfuzz,seattle with rfuzz,11266,568.700986475906,705,16363,16384,2048,0.04,0.24,0.28,19.8100588321686
ruby187p72,linux,custom-16kbuffer-select,chicago,rfuzz,chicago with rfuzz,11266,1255.24433003962,706,16340,16384,960,0.04,0.24,0.28,8.97514510154724
ruby187p72,linux,custom-16kbuffer-select,dallas,rfuzz,dallas with rfuzz,11266,10632.7363925449,705,16363,16384,2048,0.0300000000000002,0.28,0.31,1.05955791473389
ruby187p72,linux,custom-16kbuffer-select,london,rfuzz,london with rfuzz,11266,272.07475888697,705,16363,16384,2048,0.0600000000000001,0.18,0.24,41.4077367782593
ruby187p72,linux,custom-16kbuffer-select,washdc,rfuzz,washdc with rfuzz,11266,864.753307075921,705,16363,16384,2048,0.04,0.25,0.29,13.0279929637909
ruby187p72,linux,custom-64kbuffer-select,seattle,libcurl,seattle with libcurl,11266,480.312128022737,7851,1469,5840,400,0.11,0.15,0.26,23.4555809497833
ruby187p72,linux,custom-64kbuffer-select,chicago,libcurl,chicago with libcurl,11266,1196.43405151573,7782,1482,16384,32,0.11,0.15,0.26,9.41631507873535
ruby187p72,linux,custom-64kbuffer-select,dallas,libcurl,dallas with libcurl,11266,10371.4221137469,7639,1510,16384,80,0.16,0.17,0.33,1.08625411987305
ruby187p72,linux,custom-64kbuffer-select,london,libcurl,london with libcurl,11266,206.328224939013,7746,1489,16384,624,0.14,0.12,0.26,54.6023211479187
ruby187p72,linux,custom-64kbuffer-select,washdc,libcurl,washdc with libcurl,11266,743.051130340269,7843,1470,11680,364,0.12,0.13,0.25,15.1618099212646
ruby187p72,linux,custom-64kbuffer-select,seattle,net/http,seattle with net/http,11266,568.583279524938,7009,1645,21900,924,1.0,0.16,1.16,19.8141598701477
